vehicle_rep1.bam	vehicle_rep2.bam	drug_rep1.bam	drug_rep2.bam
PF3D7_1222200	0	0	0	0
PF3D7_1412100	208	168	120	148
PF3D7_1401900	7	9	16	18
PF3D7_1101000	0	0	0	0
PF3D7_0523700	19	34	31	43
PF3D7_1023500	19	15	5	7
PF3D7_1024900	129	125	59	66
PF3D7_1400900	0	0	0	0
PF3D7_1130000	146	216	149	155
PF3D7_0705800	16	22	17	14
PF3D7_0517800	1	3	3	0
PF3D7_1433300	83	121	292	274
PF3D7_1361000	74	84	21	27
PF3D7_0831500	271	242	774	1008
PF3D7_1351300	1	4	0	0
PF3D7_0725200	299	480	163	171
PF3D7_0802000	3432	2614	2724	3530
PF3D7_0222500	1	3	4	2
PF3D7_0318900	249	193	300	390
PF3D7_1435100	73	69	36	40
PF3D7_1351900	251	217	176	257
PF3D7_1452800	33	61	26	49
PF3D7_0406700	133	160	132	136
PF3D7_1307500	31	32	20	19
PF3D7_1037300	1221	1386	774	809
PF3D7_1118400	107	124	98	107
PF3D7_1348500	178	231	326	295
PF3D7_1024100	65	72	127	167
PF3D7_1007100	38	36	16	17
PF3D7_0300700	1	0	1	2
PF3D7_1006400	47	41	42	47
PF3D7_0808400	54	82	36	38
PF3D7_1014700	331	338	190	215
PF3D7_1307600	154	217	222	214
PF3D7_0531700	0	0	0	0
PF3D7_1344300	85	85	118	158
PF3D7_0924900	8	8	1	3
PF3D7_0324500	0	0	1	1
PF3D7_0821500	71	64	52	53
PF3D7_0921500	22	16	5	9
PF3D7_1007700	1452	1226	1005	1403
PF3D7_1336800	293	106	129	215
PF3D7_0529800	124	99	143	165
PF3D7_1366100	23	11	14	13
PF3D7_1310100	32	25	7	9
PF3D7_0805300	2	9	6	9
PF3D7_1117400	277	338	270	314
PF3D7_1437500	85	81	62	75
PF3D7_1312100	45	63	114	110
PF3D7_0801300	69	169	71	80
PF3D7_1000600	1	0	36	46
PF3D7_0617900	714	775	921	974
PF3D7_1350800	6	5	15	23
PF3D7_1324300	42	32	28	31
PF3D7_1248600	178	198	158	179
PF3D7_1108200	69	44	42	60
PF3D7_API05500	0	0	0	0
PF3D7_0808100	68	71	80	87
PF3D7_0715000	230	289	118	141
PF3D7_1354400	302	318	351	421
PF3D7_0724900	5	14	7	10
PF3D7_0217300	79	75	65	76
PF3D7_0722000	163	205	88	81
PF3D7_1334700	150	113	212	206
PF3D7_1322500	564	835	345	378
PF3D7_0412100	124	165	163	186
PF3D7_1464600	489	354	514	693
PF3D7_1040700	0	1	1	1
PF3D7_0927200	2	8	122	157
PF3D7_1420500	1	4	1	3
PF3D7_1135000	73	54	29	36
PF3D7_0917800	16	8	6	7
PF3D7_0901700	283	285	182	248
PF3D7_0111900	144	215	208	182
PF3D7_0300100	0	0	0	1
PF3D7_0223100	1	0	2	5
PF3D7_0821800	643	848	612	605
PF3D7_0804800	273	214	167	191
PF3D7_1034800	123	226	180	206
PF3D7_1407900	531	380	443	547
PF3D7_1254200	1	0	4	7
PF3D7_0218100	62	57	43	52
PF3D7_1428700	152	138	163	156
PF3D7_1462000	0	1	0	2
PF3D7_0826100	623	298	492	597
PF3D7_API03600	0	0	0	0
PF3D7_1222000	14	33	28	25
PF3D7_0807600	401	320	452	554
PF3D7_1023600	22	18	25	17
PF3D7_1141600	81	93	62	68
PF3D7_0520900	6654	7037	4086	4367
PF3D7_1104600	2	3	3	7
PF3D7_1469400	94	75	93	139
PF3D7_1400800	0	0	0	0
PF3D7_0712900	2	4	4	3
PF3D7_0724100	543	757	691	798
PF3D7_0804100	0	0	0	0
PF3D7_1215300	194	221	142	146
PF3D7_0105600	43	47	57	70
PF3D7_API05000	0	0	0	0
PF3D7_1010800	88	72	55	54
PF3D7_1417000	2	1	1	1
PF3D7_0419900	441	342	505	598
PF3D7_1350900	4	5	147	161
PF3D7_1347500	5190	5684	5096	5309
PF3D7_0815200	2377	2549	1981	2258
PF3D7_1321400	55	96	93	110
PF3D7_1438800	3	10	6	7
PF3D7_0602200	150	90	178	231
PF3D7_1332900	817	620	507	609
PF3D7_1343300	745	824	1016	1153
PF3D7_0922300	18	15	7	4
PF3D7_1007800	4	9	12	14
PF3D7_1417300	43	36	28	42
PF3D7_1106400	38	57	24	42
PF3D7_1025100	363	412	451	491
PF3D7_1442700	60	56	44	49
PF3D7_0609600	1	0	0	0
PF3D7_1027800	5958	5897	3542	3450
PF3D7_1040900	0	1	0	1
PF3D7_1455600	56	62	46	40
PF3D7_0114300	194	87	77	73
PF3D7_1357500	253	238	313	336
PF3D7_0832250	0	0	0	2
PF3D7_0721900	185	219	162	138
PF3D7_0825600	54	54	23	30
PF3D7_0915100	246	278	284	369
PF3D7_1212300	163	140	145	199
PF3D7_0702100	13	16	163	244
PF3D7_0719000	148	204	126	126
PF3D7_1131100	39	51	95	93
PF3D7_0907200	127	114	182	218
PF3D7_0917500	352	418	197	264
PF3D7_0616400	45	35	15	23
PF3D7_0922500	2402	1339	1600	1742
PF3D7_0808300	178	115	171	231
PF3D7_1353800	766	1047	678	709
PF3D7_1325600	119	101	49	49
PF3D7_0729400	81	80	117	170
PF3D7_1339900	182	220	111	113
PF3D7_0529600	0	0	0	0
PF3D7_0313800	120	88	90	106
PF3D7_1149300	11	7	90	101
